new_ID,Game_ID,Event,Medal
4,3,Tug-Of-War Men's Tug-Of-War,Gold
15,2,Swimming Men's 200 metres Breaststroke,Bronze
15,2,Swimming Men's 400 metres Breaststroke,Bronze
16,15,Ice Hockey Men's Ice Hockey,Bronze
17,16,Gymnastics Men's Individual All-Around,Bronze
17,16,Gymnastics Men's Team All-Around,Gold
17,16,Gymnastics Men's Horse Vault,Gold
17,16,Gymnastics Men's Pommelled Horse,Gold
17,9,Gymnastics Men's Team All-Around,Bronze
20,5,Alpine Skiing Men's Super G,Gold
20,5,Alpine Skiing Men's Giant Slalom,Bronze
20,6,Alpine Skiing Men's Downhill,Silver
20,6,Alpine Skiing Men's Super G,Bronze
20,6,Alpine Skiing Men's Combined,Silver
20,8,Alpine Skiing Men's Super G,Gold
20,8,Alpine Skiing Men's Combined,Gold
20,18,Alpine Skiing Men's Super G,Gold
21,19,Handball Women's Handball,Gold
25,2,"Gymnastics Men's Team All-Around, Free System",Silver
29,28,Hockey Women's Hockey,Bronze
30,12,Rowing Men's Lightweight Double Sculls,Silver
37,12,Football Women's Football,Bronze
38,2,"Gymnastics Men's Team All-Around, Free System",Silver
40,30,"Speed Skating Men's 1,500 metres",Bronze
40,22,"Speed Skating Men's 1,500 metres",Gold
42,13,Sailing Mixed 8 metres,Gold
56,32,"Cycling Men's Road Race, Team",Gold
62,20,Rowing Men's Coxless Pairs,Bronze
63,19,"Fencing Men's epee, Individual",Bronze
65,20,Taekwondo Women's Flyweight,Bronze
67,19,Athletics Women's Javelin Throw,Silver
72,19,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
73,19,Handball Men's Handball,Gold
73,1,Handball Men's Handball,Gold
73,20,Handball Men's Handball,Silver
76,11,Football Men's Football,Gold
80,12,Water Polo Men's Water Polo,Gold
84,21,"Wrestling Men's Featherweight, Freestyle",Silver
85,36,Sailing Mixed Two Person Heavyweight Dinghy,Gold
86,25,"Athletics Men's 1,500 metres",Bronze
90,21,Cycling Women's Sprint,Silver
93,19,Handball Men's Handball,Gold
99,0,"Fencing Men's Sabre, Team",Silver
100,29,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
103,29,Modern Pentathlon Men's Individual,Bronze
106,28,Rowing Men's Quadruple Sculls,Gold
106,12,Rowing Men's Double Sculls,Gold
106,11,Rowing Men's Quadruple Sculls,Gold
107,25,Rowing Men's Coxed Pairs,Gold
107,28,Rowing Men's Coxed Pairs,Gold
107,0,Rowing Men's Coxed Pairs,Silver
108,25,Rowing Men's Coxed Pairs,Gold
108,28,Rowing Men's Coxed Pairs,Gold
108,0,Rowing Men's Coxed Pairs,Silver
140,40,Football Men's Football,Bronze
144,19,Hockey Men's Hockey,Bronze
146,15,Figure Skating Mixed Team,Bronze
151,3,Golf Women's Individual,Gold
154,19,Softball Women's Softball,Silver
166,21,Taekwondo Women's Featherweight,Silver
255,20,"Wrestling Men's Middleweight, Greco-Roman",Bronze
264,25,Swimming Women's 4 x 100 metres Medley Relay,Bronze
302,33,Hockey Men's Hockey,Gold
303,37,Hockey Men's Hockey,Silver
321,27,"Wrestling Men's Featherweight, Freestyle",Gold
342,11,Boxing Men's Light-Welterweight,Gold
344,12,"Wrestling Men's Flyweight, Freestyle",Silver
344,11,"Wrestling Men's Bantamweight, Freestyle",Gold
356,11,Basketball Men's Basketball,Gold
362,19,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
364,0,Athletics Men's Hammer Throw,Gold
374,6,Nordic Combined Men's Team,Gold
386,0,"Athletics Men's 10,000 metres",Bronze
392,14,Football Men's Football,Silver
398,43,Ice Hockey Men's Ice Hockey,Silver
399,30,Ice Hockey Men's Ice Hockey,Gold
401,27,Gymnastics Women's Team All-Around,Silver
402,1,Diving Women's Synchronized Springboard,Bronze
406,2,Sailing Mixed 7 metres,Silver
408,0,Football Men's Football,Gold
411,3,Rowing Men's Coxed Eights,Gold
411,44,Rowing Men's Coxed Eights,Gold
418,11,Athletics Men's Marathon,Gold
423,13,Athletics Men's Long Jump,Bronze
423,13,Athletics Men's Triple Jump,Silver
430,11,Baseball Men's Baseball,Gold
431,32,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
435,19,"Athletics Women's 5,000 metres",Silver
450,36,"Wrestling Men's Middleweight, Freestyle",Gold
461,7,Athletics Men's 4 x 400 metres Relay,Gold
462,1,Gymnastics Men's Floor Exercise,Bronze
462,1,Gymnastics Men's Horse Vault,Silver
462,20,Gymnastics Men's Team All-Around,Silver
462,20,Gymnastics Men's Horse Vault,Silver
462,20,Gymnastics Men's Rings,Bronze
467,27,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
467,27,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
472,20,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
503,1,"Fencing Men's Foil, Individual",Silver
515,28,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
515,28,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
515,0,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
517,36,Swimming Men's 4 x 100 metres Medley Relay,Bronze
522,21,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
527,14,Athletics Men's 100 metres,Gold
527,14,Athletics Men's 4 x 100 metres Relay,Silver
529,13,"Gymnastics Men's Team All-Around, Free System",Gold
535,2,Athletics Men's Long Jump,Bronze
537,45,Ice Hockey Men's Ice Hockey,Silver
551,21,Volleyball Men's Volleyball,Bronze
555,37,Volleyball Women's Volleyball,Silver
556,18,Speed Skating Women's Team Pursuit (6 laps),Bronze
584,20,Basketball Men's Basketball,Bronze
588,19,Basketball Women's Basketball,Bronze
590,36,"Wrestling Men's Lightweight, Freestyle",Gold
591,21,"Cycling Men's Mountainbike, Cross-Country",Gold
591,19,"Cycling Men's Mountainbike, Cross-Country",Gold
616,20,Taekwondo Men's Featherweight,Gold
618,37,Gymnastics Women's Team All-Around,Bronze
626,36,"Fencing Men's epee, Team",Bronze
627,36,"Wrestling Men's Featherweight, Freestyle",Gold
635,19,Gymnastics Women's Team All-Around,Bronze
637,1,Handball Men's Handball,Gold
642,4,Alpine Skiing Men's Combined,Bronze
647,2,Football Men's Football,Silver
654,0,Boxing Men's Welterweight,Bronze
662,25,"Wrestling Men's Flyweight, Greco-Roman",Silver
677,0,Football Men's Football,Bronze
678,25,Cycling Men's 100 kilometres Team Time Trial,Silver
681,28,Boxing Men's Featherweight,Bronze
682,0,Boxing Men's Bantamweight,Bronze
688,39,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
698,1,Rowing Women's Coxed Eights,Bronze
698,20,Rowing Women's Quadruple Sculls,Silver
705,2,"Gymnastics Men's Team All-Around, Swedish System",Gold
706,35,Hockey Men's Hockey,Gold
707,2,"Wrestling Men's Featherweight, Freestyle",Gold
710,8,Nordic Combined Men's Team,Silver
710,8,Nordic Combined Men's Sprint,Silver
710,18,Nordic Combined Men's Team,Silver
713,5,Bobsleigh Men's Two,Gold
713,5,Bobsleigh Men's Four,Bronze
713,6,Bobsleigh Men's Two,Gold
713,6,Bobsleigh Men's Four,Silver
714,6,Bobsleigh Men's Two,Silver
724,19,Football Men's Football,Gold
731,19,Boxing Men's Heavyweight,Bronze
735,9,Basketball Men's Basketball,Bronze
753,36,Boxing Men's Lightweight,Bronze
770,29,Rowing Men's Coxed Eights,Gold
774,35,Modern Pentathlon Men's Team,Silver
780,18,Curling Men's Curling,Gold
783,29,"Fencing Men's Foil, Team",Bronze
785,16,"Cycling Men's Team Pursuit, 4,000 metres",Gold
793,0,Football Men's Football,Silver
816,13,Athletics Men's Standing High Jump,Silver
816,13,Athletics Men's Standing Long Jump,Bronze
822,44,Swimming Men's Plunge For Distance,Silver
827,13,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
839,36,Judo Men's Lightweight,Silver
839,25,Judo Men's Half-Middleweight,Silver
841,1,Boxing Women's Flyweight,Gold
841,20,Boxing Women's Flyweight,Gold
845,13,Athletics Men's Standing High Jump,Gold
845,13,Athletics Men's Standing Long Jump,Silver
846,20,Volleyball Women's Volleyball,Bronze
849,15,Curling Women's Curling,Bronze
855,19,Athletics Women's Shot Put,Gold
855,1,Athletics Women's Shot Put,Gold
855,20,Athletics Women's Shot Put,Silver
858,1,Rowing Men's Coxed Eights,Gold
859,29,Rowing Men's Coxed Pairs,Gold
860,33,Boxing Men's Featherweight,Silver
