"new_ID","ID","Name","Sex","NOC"
126879,125354,"Foteini Varvariotou","F","GRE"
111777,110459,"Viorica Daniela Siliva (-Harper)","F","ROU"
22344,22107,"Beatrice Nicoleta Coad-Claru","F","ROU"
44127,43691,"Christian Guiffroy","M","FRA"
125824,124303,"Solko Johannes van den Bergh","M","NED"
121816,120365,"Vronique Tilmont","F","FRA"
29171,28900,"Aleksey Dmitriyenko","M","KAZ"
7662,7588,"Helmut Bantz","M","GER"
84994,84025,"Aldo Nadi","M","ITA"
18181,17984,"Maricela Cant Mata","F","MEX"
99743,98598,"Nelly Ramassamy","F","FRA"
84995,84026,"Nedo Nadi","M","ITA"
98203,97083,"Carl Harvie Probert","M","FIJ"
118797,117373,"Jzsef Szalai","M","HUN"
39593,39209,"Mitchell Jay Mitch Gaylord","M","USA"
25459,25215,"Charles Meldrum Charlie Daniels","M","USA"
126566,125042,"Vra Vanurov (-Rylickov)","F","TCH"
12621,12485,"Loredana Boboc","F","ROU"
106794,105567,"Ingrid Santer","F","FRG"
70133,69321,"Li Chun-Mi","F","PRK"
62933,62244,"Joe Kolman","M","YUG"
23234,22996,"Susana Norma Coppo","F","ARG"
103215,102032,"Peter Rohner","M","SUI"
106800,105573,"Lajos Sntha","M","HUN"
114681,113324,"Drago otari","M","YUG"
115473,114107,"Karl Gustaf Vilhelm Staaf (Johansson-)","M","SWE"
128595,127055,"Jeanette Vogelbacher (-Solbach)","F","FRA"
53310,52764,"Ivan Aleksandrovich Ivankov","M","BLR"
14108,13951,"Michel Bouchonnet","M","FRA"
69903,69093,"William David Franz Bill Leushner","M","USA"
75362,74504,"Karin Mannewitz (Herbsleb-)","F","GER"
82343,81395,"Franoise Monod","F","SUI"
3097,3069,"Thomas Alsgaard (Alsgrd-)","M","NOR"
70696,69882,"Ole Andreas Lilloe-Olsen","M","NOR"
100520,99366,"Luciana Reali","F","ITA"
81770,80827,"Anita Moen-Guidon (-Moen Bonden)","F","NOR"
74343,73506,"Zoltn Magyar","M","HUN"
37196,36836,"Raffaele Frasca","M","ITA"
68189,67394,"Tamara Vasilyevna Lazakovich","F","URS"
69186,68384,"Walter Lehmann","M","SUI"
82538,81589,"Enrique Montserrat Foj","M","ESP"
85306,84332,"Taniko Nakamura-Mitsukuri","F","JPN"
64715,63976,"Paul William Krempel","M","USA"
32895,32574,"Yukio Endo","M","JPN"
82716,81767,"Blanca Jeanette Morales Macella","F","GUA"
81530,80589,"Toshiko Miyamoto","F","JPN"
52782,52241,"Paula Ioan","F","ROU"
27241,26983,"Gervasio Deferr ngel","M","ESP"
111184,109876,"Toshiko Shirasu-Aihara","F","JPN"
121740,120292,"Endre Tihanyi","M","HUN"
17526,17330,"Jean-Luc Cairon","M","FRA"
39046,38666,"Nuria Garca Daz","F","ESP"
109713,108429,"Catharina Tootje Selbach","F","NED"
47295,46829,"Brent Matthew Hayden","M","CAN"
111121,109813,"Shin Heung-Do","M","PRK"
74891,74041,"Aleksandr Ivanovich Maleyev","M","URS"
129058,127506,"Zinaida Borisovna Voronina (Druzhinina-)","F","URS"
95055,93983,"Rumen Petkov","M","BUL"
12287,12154,"Leszek Robert Blanik","M","POL"
57465,56874,"Lidiya Gavrilovna Kalinina-Ivanova","F","URS"
12954,12813,"Stefanie Bhler","F","GER"
52394,51858,"Marieta Ilieva","F","BUL"
128384,126845,"Guido Visser","M","CAN"
68927,68125,"Lee Seon-Seong","M","KOR"
108546,107288,"Renate Schneider","F","GER"
60077,59438,"Georgi Khristov","M","BUL"
116129,114750,"Judith Steiger","F","SUI"
68229,67434,"Larbi Lazhari","M","ALG"
105907,104688,"Terence John Terry Sale","M","NZL"
10875,10763,"Aage Berntsen","M","DEN"
41339,40938,"Denise Elizabeth Goddard","F","GBR"
27501,27242,"Philip Delesalle","M","CAN"
52299,51763,"Ken Ikeda","M","CAN"
92260,91211,"Vasilios Papageorgiou","M","GRE"
132623,131034,"Ernst Friedrich Winter","M","GER"
86643,85646,"Ng Shu Wai","M","MAS"
127678,126145,"Anna Maria Theodora Petra Annemarie Verstappen (-Janssen)","F","NED"
125822,124301,"Gerard Anne van den Bergh","M","NED"
105096,103892,"Erwina Lilia Ry-Ferens","F","POL"
23293,23055,"Eugne Louis Auguste Cordonnier","M","FRA"
54547,53985,"Willi Jaschek","M","FRG"
128224,126686,"Pirkko Aliisa Vilppunen","F","FIN"
51636,51117,"Pavol Hurajt","M","SVK"
45878,45420,"Han Chung-Sik","M","KOR"
84308,83346,"Sergio Muoz Escribano","M","ESP"
13272,13128,"Aleksey Petrovich Bondarenko","M","RUS"
4197,4166,"Walter Emanuel Walt Andrews","M","CAN"
78994,78100,"Krisztina Medveczky","F","HUN"
128451,126912,"Lyudmila Vasilyevna Vityukova","F","BLR"
134064,132467,"Yang Bo","F","CHN"
120266,118833,"Sbastien Tayac","M","FRA"
81612,80671,"Mkrtich Mkryan","M","TUR"
64778,64039,"Marianne Kriel","F","RSA"
65600,64842,"Georgijs Kuikovs","M","URS"
77967,77079,"Klementina Tina Maze","F","SLO"
13426,13280,"Georgia Bonora","F","AUS"
25503,25256,"Yury Milanovich Danilochkin","M","BLR"
55249,54681,"Poul Erik Ravn Jessen","M","DEN"
